Kinase	Substrate	Score
JAK2	STAT1	100
JAK2	STAT3	100
JAK2	STAT5A	100
KIT	MTA1	12.84
KSR2	PRKACA	5.28
LATS1	GADD45A	2.75
LATS1	MDM4	3.55
LATS1	PPP2R1A	2.75
LATS1	RPA2	2.75
LATS1	ZYX	2881.08
LCK	CBL	23228.7/100
LCK	CD28	100
LCK	CD33	100
LCK	CD5	100
LCK	CTTN	7.96
LCK	DAPP1	100
LCK	ERF	2.64
LCK	ESR1	100
LCK	ETS1	6.18
LCK	EZR	100
LCK	FGR	3.05
LCK	HDAC8	13.8
LCK	HNRPK	3.11
LCK	IL2RB	100
LCK	IRAK1	1.91
LCK	ITK	100
LCK	KLHL25	2.42
LCK	MAPK12	16.11
LCK	MBNL3	2.46
LCK	MTA1	13.8
LCK	MXD1	2.68
LCK	NFKBIA	100
LCK	PINX1	3.11
LCK	PLCG2	100
LCK	PRKCQ	100
LCK	PTEN	100
LCK	PTPN6	100
LCK	RPA2	2.68
LCK	SH2B3	100
LCK	SHC1	100
LCK	SIGLEC10	100
LCK	SLAMF1	100
LCK	SMAD4	17.86
LCK	SMARCC2	2.64
LCK	SOCS3	100
LCK	SPTAN1	100
LCK	TRIM16	2.42
LCK	TRIP10	62.44
LCK	TSC22D3	3.11
LCK	VAV1	100
LCK	VAV2	100
LCK	VDR	2.68
LCK	VHL	13.8
LCK	WWP1	4.1
LCK	ZAP70	100
LCK	ZYX	152.07
LIMK2	CFL1	100
LIMK2	CRK	5.63
LIMK2	DDX19B	2.25
LIMK2	HLCS	1.99
LIMK2	PRKCD	2.21
LIMK2	PTK2B	29.14
LYN	BTK	100
LYN	CD19	100
LYN	CD79A	100
LYN	CD79B	100
LYN	CSNK2A1	100
LYN	CSRP3	1.88
LYN	EPOR	100
LYN	FCGR2A	100
LYN	FCGR2B	100
LYN	FCGR2C	100
LYN	HCLS1	100
LYN	HLCS	6.91
LYN	HNRPK	3453.92
LYN	HSD17B10	20.11
LYN	HSPA2	22.21
LYN	MAP2	100
LYN	MRPL18	2.35
LYN	MTA1	2.67
LYN	NDUFB4	22.21
LYN	NEUROD1	1.88
LYN	NMT1	100
LYN	PKM2	4.22
LYN	PLCG2	100
LYN	PPP1R8	100
LYN	RGS16	100
LYN	SLAMF1	100
LYN	SLC4A1	100
LYN	STAT5A	100
LYN	TBC1D10B	3.04
LYN	TRPV4	100
LYN	YWHAZ	66.64
MAK	CBL	1.96
MAP2K1	GSK3B	100
MAP2K1	MAPK1	100
MAP2K1	MAPK3	100
MAP2K1	NEK3	1.93
MAP2K1	PRKCD	16.93
MAP2K2	HSF1	12.84
MAP2K2	MAPK3	100
MAP2K2	MTA1	1.9
MAP2K2	RPS6KA2	12.84
MAP2K3	MAPK1	16.61
MAP2K3	MAPK12	100
MAP2K3	MAPK14	100
MAP2K4	CTTN	7.61
MAP2K4	EIF4A2	3.61
MAP2K4	MAPK10	100
MAP2K4	MAPK12	100
MAP2K4	MAPK8	100
MAP2K4	MAPK9	100
MAP2K4	MDM4	2.75
MAP2K4	NAP1L1	2.75
MAP2K4	NEUROD1	9.03
MAP2K4	RIPK3	5.45
MAP2K4	RPS20	1.57
MAP2K4	RXRA	100
MAP2K4	UBE2I	2.75
MAP2K4	ZRANB2	2.75
MAP2K6	MAPK12	100
MAP2K6	MAPK14	100
MAP2K6	OTUD7B	12.84
MAP2K6	PAK6	100
MAP2K6	PRKCD	1.9
MAP2K6	RUVBL1	12.84
MAP2K6	TSC22D3	1.57
MAP2K7	AK2	4.19
MAP2K7	DDEFL1	1.96
MAP2K7	EXOSC5	2.21
MAP2K7	HCLS1	2.25
MAP2K7	HLCS	1.96
MAP2K7	MAPK10	100
MAP2K7	MAPK8	100
MAP2K7	MAPK9	100
MAP2K7	MTA1	2.21
MAP2K7	RUVBL2	24.59
MAP2K7	SAFB2	2.25
MAP2K7	SRXN1	1.99
MAP2K7	TMSL3	1.99
MAP2K7	TRIM21	2.25
MAP2K7	UBB	34.96
MAP2K7	ZYX	3.06
MAP3K11	CAMKK1	4.46
MAP3K11	MAP2K4	100
MAP3K11	SMAD4	16.61
MAP3K13	EIF2AK2	3.68
MAP3K13	KLHL25	1.67
MAP3K13	MAP2K7	15.18
MAP3K13	MBNL3	2.07
MAP3K13	ZNF397	1.6
MAP3K14	CAMK2A	2
MAP3K14	GRK5	12.49
MAP3K14	HLCS	1.64
MAP3K14	MAP4K5	15.83
MAP3K14	MBNL3	1.57
MAP3K14	MLX	15.18
MAP3K14	NEUROD1	10.68
MAP3K14	NFKB2	100
MAP3K14	RPS6KA2	15.18
MAP3K14	VHL	15.18
MAP3K7	BCL3	12.84
MAP3K7	CSDE1	7.75
MAP3K7	CTTN	5.45
MAP3K7	DAXX	29.53
MAP3K7	EIF4B	1.57
MAP3K7	FUBP1	6.32
MAP3K7	MAGEA6	2.03
MAP3K7	MDFI	16.93
MAP3K7	MDM4	2.75
MAP3K7	NAP1L1	2.75
MAP3K7	NFATC4	9.03
MAP3K7	OTUD7B	29.53
MAP3K7	PIM1	24.41
MAP3K7	PINX1	1.57
MAP3K7	PPP1R13L	9.03
MAP3K7	PRKCD	16.61
MAP3K7	RAP1A	6.8
MAP3K7	RIPK3	7.75
MAP3K7	RPA2	2.75
MAP3K7	RUVBL2	12.61
MAP3K7	RXRA	2.7
MAP3K7	SFRS4	6.32
MAP3K7	SNRP70	2.75
MAP3K7	SUMO4	1.57
MAP3K7	TRIM28	3.62
MAP3K7	TRIP10	17.43
MAP3K7	TTRAP	2.75
MAP3K7	UBE2L3	1.57
MAP3K7	UBE2N	12.84
MAP3K7	UHMK1	12.84
MAP3K7	ZAP70	10.22
MAP3K8	CAMKK1	5.28
MAP3K8	CHEK1	15.18
MAP3K8	CRY1	15.18
MAP3K8	GRK5	12.49
MAP3K8	MAP2K1	100
MAP3K8	MAP2K2	100
MAP3K8	MAP3K14	100
MAP3K8	NEUROD1	10.68
MAP3K8	UHMK1	2.25
MAP4K2	C21orf66	2.11
MAP4K2	GDI2	15.83
MAP4K2	HLCS	2.16
MAP4K2	MAPK12	20.48
MAP4K2	MBNL3	1.6
MAP4K2	PRH1	100
MAP4K2	RUVBL2	15.18
MAP4K2	SFRS1	2.25
MAP4K2	STIP1	2.25
MAP4K2	STUB1	15.54
MAP4K2	UBTD2	1.67
MAP4K5	CAT	3.75
MAP4K5	CTTN	15.83
MAP4K5	DOK1	2.84
MAP4K5	MED28	14.91
MAP4K5	PRKAR1A	2.79
MAP4K5	SRXN1	1.67
MAP4K5	STUB1	15.83
MAPK1	APBB1	100
MAPK1	BCL2L11	100
MAPK1	CAD	100
MAPK1	CAPN2	100
MAPK1	CASP9	100
MAPK1	CDKN1B	100
MAPK1	CEBPA	100
MAPK1	CLK3	2.25
MAPK1	CSNK1G2	1.6
MAPK1	CSRP3	1.58
MAPK1	CTTN	18.88
MAPK1	DAPK1	100
MAPK1	DDEFL1	1.99
MAPK1	DUSP1	100
MAPK1	DUSP16	100
MAPK1	DUSP6	100
MAPK1	EGFR	100
MAPK1	EIF2AK2	5.52
MAPK1	ERF	1202.84/100
MAPK1	ESPL1	100
MAPK1	FGR	5.62
MAPK1	FOS	100
MAPK1	GAB1	100
MAPK1	GADD45A	7.73
MAPK1	GRB10	100
MAPK1	GSK3B	100
MAPK1	HLCS	1.96
MAPK1	IL16	100
MAPK1	LCK	100
MAPK1	LIFR	100
MAPK1	MAP2K1	100
MAPK1	MAPKAPK2	100
MAPK1	MAPKAPK5	100
MAPK1	MBP	100
MAPK1	MCL1	100
MAPK1	MDM2	34.96
MAPK1	MDM4	5.54
MAPK1	MED1	100
MAPK1	MED28	34.96
MAPK1	MTA1	34.33
MAPK1	MYC	100
MAPK1	NCOA1	100
MAPK1	NFATC4	100
MAPK1	NUP133	10.19
MAPK1	OTUD7B	2.91
MAPK1	PAK1	100
MAPK1	PGR	100
MAPK1	PHF17	2.25
MAPK1	PITPNM1	100
MAPK1	PLA2G4A	100
MAPK1	POLR2A	100
MAPK1	PPARG	100
MAPK1	PPP1R13L	34.96
MAPK1	PRKAR1A	5.62
MAPK1	RAD23B	2.91
MAPK1	RAD51	7.87
MAPK1	RELA	100
MAPK1	RGS19	100
MAPK1	RNH1	18.88
MAPK1	RPS3	100
MAPK1	RPS6KA5	100
MAPK1	RXRA	100
MAPK1	SH2B1	100
MAPK1	SMAD1	100
MAPK1	SMAD3	100
MAPK1	SMC3	2.25
MAPK1	SOS1	100
MAPK1	SOX10	34.96
MAPK1	SP1	100
MAPK1	SREBF1	100
MAPK1	SREBF2	100
MAPK1	SRXN1	1.99
MAPK1	STAT5A	100
MAPK1	STK16	4.26
MAPK1	THRB	100
MAPK1	TOP2A	100
MAPK1	TP53	5339.65
MAPK1	TSC2	100
MAPK1	TSC22D3	4.26
MAPK1	UBE2A	4.26
MAPK1	UBTF	100
MAPK1	ZBED1	10.19
MAPK10	ATF2	2.68
MAPK10	ATN1	100
MAPK10	CBL	9.79
MAPK10	DAXX	4.8
MAPK10	DDEF2	3.95
MAPK10	DDEFL1	1.7
MAPK10	ETS1	1.89
MAPK10	HLCS	2.42
MAPK10	HNRPK	100
MAPK10	MAP2K7	13.8
MAPK10	MDM2	13.8
MAPK10	MDM4	2.68
MAPK10	MEF2A	2.68
MAPK10	MTA1	13.8
MAPK10	PRKCD	13.8
MAPK10	SARS	22.91
MAPK10	SF3B1	2.68
MAPK10	SRXN1	2.42
MAPK10	STUB1	1.91
MAPK10	UBB	13.8
MAPK10	ZHX1	3.47
MAPK10	ZYX	152.07
MAPK11	BFAR	1.57
MAPK11	HBP1	100
MAPK11	HIF1A	9.03
MAPK11	HNF4A	100
MAPK11	LZTS1	1.6
MAPK11	MAPKAPK5	100
MAPK11	PPP1R13L	12.84
MAPK12	DDEFL1	1.67
MAPK12	HLCS	2.16
MAPK12	MTA1	15.18
MAPK12	PRKACA	10.68
MAPK12	SNTA1	100
MAPK13	CHEK1	12.61
MAPK13	CLK1	2.7
MAPK13	EEF2K	100
MAPK13	MAX	2.7
MAPK13	PRKACA	12.84
MAPK13	STMN1	100
MAPK14	ATF2	100
MAPK14	BAD	100
MAPK14	BFAR	4.26
MAPK14	CASP3	100
MAPK14	CASP8	100
MAPK14	CREB1	100
MAPK14	CSRP3	1.58
MAPK14	ELK1	100
MAPK14	ESR1	100
MAPK14	GEMIN7	2.97
MAPK14	GRK5	1.88
MAPK14	HLCS	1.96
MAPK14	JDP2	100
MAPK14	JUNB	100
MAPK14	KHDRBS1	100
MAPK14	KRT8	100
MAPK14	MAP3K7IP1	100
MAPK14	MAP4K2	18.88
MAPK14	MAPK1	7169.37
MAPK14	MAPKAPK2	100
MAPK14	MAPKAPK5	100
MAPK14	MEF2A	100
MAPK14	MEF2C	100
MAPK14	MLX	2.25
MAPK14	NCF1	100
MAPK14	NFATC4	100
MAPK14	NUP62	2.25
MAPK14	PAK6	100
MAPK14	PPARGC1A	100
MAPK14	RBM12	10.38
MAPK14	RELA	100
MAPK14	RPS6KA4	100
MAPK14	RPS6KA5	100
MAPK14	SKAP1	87.47
MAPK14	SLC9A1	100
MAPK14	SNF1LK	2.91
MAPK14	SYK	29.14
MAPK14	TRIM24	34.96
MAPK14	ZAP70	24.43
MAPK14	ZHX1	7.87
MAPK15	CBL	18.86
MAPK15	COPS6	12.84
MAPK15	ETS1	2.75
MAPK15	FGR	1.57
MAPK15	RET	1.57
MAPK3	ADAM17	100
MAPK3	BCL2L11	100
MAPK3	BCL3	1960.7
MAPK3	BMX	10.03
MAPK3	CAD	100
MAPK3	CALD1	100
MAPK3	CAPN2	100
MAPK3	CASP9	100
MAPK3	CDC25A	1.57
MAPK3	CDK9	2.75
MAPK3	CEBPA	100
MAPK3	CEBPB	100
MAPK3	CTTN	100
MAPK3	DUSP1	100
MAPK3	DUSP6	100
MAPK3	EGFR	100
MAPK3	ELK1	100
MAPK3	ESR1	100
MAPK3	ETV6	100
MAPK3	FOS	100
MAPK3	GAB2	100
MAPK3	GRB10	100
MAPK3	GSK3B	100
MAPK3	HNRPK	100
MAPK3	HSPB8	100
MAPK3	IL16	100
MAPK3	IRS1	100
MAPK3	KRT8	100
MAPK3	LCK	100
MAPK3	LIFR	100
MAPK3	MAPK8	244.18
MAPK3	MAZ	100
MAPK3	MBP	100
MAPK3	MCL1	100
MAPK3	MDFI	12.61
MAPK3	MED1	100
MAPK3	MKNK1	100
MAPK3	MXD1	2.7
MAPK3	MYB	100
MAPK3	NCF1	100
MAPK3	NFATC4	12.84/100
MAPK3	PGR	100
MAPK3	PINX1	1.57
MAPK3	PLCB1	100
MAPK3	POLR2A	100
MAPK3	PRKACB	16.93
MAPK3	PTBP1	2.7
MAPK3	RPS3	100
MAPK3	RPS6KA3	100
MAPK3	RPS6KA5	100
MAPK3	RRN3	100
MAPK3	RXRA	100
MAPK3	SH2B1	100
MAPK3	SMAD2	100
MAPK3	SMAD4	100
MAPK3	SP1	100
MAPK3	SPIB	100
MAPK3	SREBF1	100
MAPK3	SREBF2	100
MAPK3	SSBP3	3.55
MAPK3	STAT5A	100
MAPK3	SYN3	100
MAPK3	TAL1	100
MAPK3	THRB	100
MAPK3	TOP2A	100
MAPK3	TRIM28	2.7
MAPK3	UBTF	100
MAPK3	ZHX1	2.75
MAPK6	DAZAP1	1.79
MAPK6	IER3	100
MAPK6	ORC1L	3.62
MAPK6	PDLIM5	1.93
MAPK6	RCC1	12.84
MAPK7	CDK9	2.75
MAPK7	ETS1	100
MAPK7	GTF3C3	3.55
MAPK7	MAP2K5	100
MAPK7	MAPK8	1.57
MAPK7	MDM4	2.75
MAPK7	MEF2A	100
MAPK7	MEF2C	100
MAPK7	PRKACA	16.61
MAPK7	RAP1A	8.8
MAPK7	RIPK3	7.75
MAPK7	SARS	7.75
MAPK7	SCC-112	1.57
MAPK7	SGK	100
MAPK7	TRIM28	3.55
MAPK7	TRIP10	12.26
MAPK8	APBB1	2.75
MAPK8	APLP2	100
MAPK8	ATF2	552.87/100
MAPK8	ATF7	2.75
MAPK8	ATN1	100
MAPK8	BCL2	100
MAPK8	BCL2L1	100
MAPK8	BRCA1	12.84
MAPK8	CENTD2	7.75
MAPK8	DDEF2	17.12
MAPK8	DYRK1B	2.75
MAPK8	EDF1	16.61
MAPK8	EIF4A2	1.57
MAPK8	ELK1	419.6
MAPK8	ERF	2.75
MAPK8	ETV1	2.7
MAPK8	FBL	2.75
MAPK8	FBXO3	1.57
MAPK8	FOSL1	1.93
MAPK8	FOXO4	100
MAPK8	HNRPK	100
MAPK8	HSF1	1996.19
MAPK8	HTATIP	16.61
MAPK8	IRS1	100
MAPK8	JUN	100
MAPK8	KRT8	100
MAPK8	LZTS1	1.57
MAPK8	MAPK1	1960.7
MAPK8	MAPK12	10.03
MAPK8	MAPK8IP1	100
MAPK8	MDM4	2.75
MAPK8	MITF	1.93
MAPK8	MTF2	2.7
MAPK8	NCL	2.75
MAPK8	NCOA4	2.75
MAPK8	NPM1	12.84
MAPK8	PPARA	2.75
MAPK8	PPARG	100
MAPK8	PPP1R13L	9.03
MAPK8	PPP2R1A	2.75
MAPK8	RCHY1	12.84
MAPK8	RNH1	10.03
MAPK8	RPA1	2.7
MAPK8	RPA2	2.75
MAPK8	RUVBL2	12.61
MAPK8	RXRA	2.75
MAPK8	SF3B1	2.7
MAPK8	SFN	100
MAPK8	SMAD3	2881.08
MAPK8	SMAD4	12.84
MAPK8	SNRP70	2.75
MAPK8	SRF	2.75
MAPK8	STUB1	10.03
MAPK8	SUMO1	12.84
MAPK8	SUMO3	12.84
MAPK8	SUMO4	1.57
MAPK8	TRIM24	12.84
MAPK8	TRIM28	2.75
MAPK8	TRIP6	1.57
MAPK8	UBE2A	1.57
MAPK8	VDAC1	6.8
MAPK8	XPA	2.7
MAPK8	XPO1	12.84
MAPK8	XRCC4	2.7
MAPK8	YWHAB	100
MAPK8	YWHAE	7.75
MAPK8	YWHAH	7.75
MAPK8	YWHAZ	100
MAPK8	ZBTB16	1.93
MAPK8	ZHX1	3.55
MAPK8	ZNF385	1.57
MAPK9	BCL3	12.84
MAPK9	CDC25C	100
MAPK9	EIF2AK2	1.57
MAPK9	EIF4ENIF1	12.84
MAPK9	ELK1	100
MAPK9	ETS1	2.75
MAPK9	FOXO4	100
MAPK9	HNRPUL1	1.57
MAPK9	ID1	1.93
MAPK9	JDP2	100
MAPK9	JUN	100
MAPK9	MAP3K8	7.75
MAPK9	MAPK8IP1	100
MAPK9	MAPKAPK5	100
MAPK9	MDFI	12.61
MAPK9	MDM2	4.46
MAPK9	MDM4	2.75
MAPK9	MEF2A	3.62
MAPK9	MTA1	16.61
MAPK9	NFATC3	1996.19/100
MAPK9	PPP1R13L	12.84
MAPK9	PRKAR1A	2.07
MAPK9	RPA2	2.75
MAPK9	RRN3	100
MAPK9	RUVBL1	16.61
MAPK9	SMAD4	16.61
MAPK9	SMARCC2	3.62
MAPK9	SNRP70	2.75
MAPK9	SOX10	12.84
MAPK9	SUPT5H	2.75
MAPK9	TRIP10	17.43
MAPK9	XPO1	16.93
MAPK9	ZHX1	3.55
MAPKAPK3	CSRP3	2.25
MAPKAPK3	HLCS	1.96
MAPKAPK3	MYF6	7.87
MAPKAPK3	NEUROD1	1.58
MAPKAPK5	ASCC1	2.8
MAPKAPK5	BCL3	34.96
MAPKAPK5	CBL	4.35
MAPKAPK5	CHEK1	2.97
MAPKAPK5	CIAO1	18.12
MAPKAPK5	CLK1	7.87
MAPKAPK5	CSDC2	3.69
MAPKAPK5	CSDE1	1.6
MAPKAPK5	CSRP3	1.58
MAPKAPK5	DAXX	80.43
MAPKAPK5	DDEF2	1.88
MAPKAPK5	EIF4A2	4.19
MAPKAPK5	EIF4B	9.81
MAPKAPK5	EIF4ENIF1	46.1
MAPKAPK5	ETF1	1.6
MAPKAPK5	ETS1	10.38
MAPKAPK5	EXOSC5	2.25
MAPKAPK5	GPBP1	2.25
MAPKAPK5	HCLS1	2.25
MAPKAPK5	IRF3	2.25
MAPKAPK5	KLHL25	1.99
MAPKAPK5	MAPK1	5436.3
MAPKAPK5	MAPK12	2884.1
MAPKAPK5	MAPK8	4.26
MAPKAPK5	MBNL3	3.63
MAPKAPK5	MDFI	2.91
MAPKAPK5	MDM2	1.58
MAPKAPK5	NEUROD1	1.58
MAPKAPK5	NFATC4	34.96
MAPKAPK5	NPM1	2.25
MAPKAPK5	POP7	7.87
MAPKAPK5	PPP1R13L	2.25
MAPKAPK5	PRKACA	34.33
MAPKAPK5	PRKACB	2.21
MAPKAPK5	PSMA6	2.25
MAPKAPK5	PSMC3	2.25
MAPKAPK5	RAD23B	2.25
MAPKAPK5	RET	4.19
MAPKAPK5	RUVBL1	2.25
MAPKAPK5	RUVBL2	34.96
MAPKAPK5	S100A11	2.25
MAPKAPK5	SAFB2	5.18
MAPKAPK5	SARS	18.88
MAPKAPK5	SF3B4	18.12
MAPKAPK5	SFRS1	2.25
MAPKAPK5	SIP1	2.97
MAPKAPK5	SMAD4	46.1
MAPKAPK5	SMPX	2.6
MAPKAPK5	SND1	2.25
MAPKAPK5	SRXN1	1.99
MAPKAPK5	SUMO4	4.26
MAPKAPK5	TBC1D22A	2.63
MAPKAPK5	TRIM24	2.91
MAPKAPK5	UBE2I	7.87
MAPKAPK5	UBE2N	2.25
MAPKAPK5	UHMK1	2.91
MAPKAPK5	ZYX	4.28
MARK2	BAD	57.27
MARK2	C11orf9	1.7
MARK2	C14orf106	2.24
MARK2	CA5B	1.94
MARK2	CREB1	16.11
MARK2	EIF2S1	8.05
MARK2	LOC93349	1.98
MARK2	LZTS1	13.06
MARK2	TXN	3.69
MARK2	VHL	6.22
MARK2	WDR45L	1.94
MARK2	ZNF213	1.7
MARK2	ZNF565	1.7
MARK2	ZNF746	1.7
MARK3	CHEK2	2.75
MARK3	PPP2R5D	12.61
MARK3	PRKACA	12.84
MARK3	SMCR7L	1.57
MAST1	DDEFL1	1.7
MAST1	GRK5	2.83
MAST1	HLCS	2.38
MAST1	MTA1	13.8
MAST1	ZHX1	3.47
MAST2	CHGB	2.19
MAST2	MTA1	13.8
MAST2	UBE2L3	3.11
MATK	FGR	3.68
MATK	HLCS	1.64
MATK	MDFI	15.18
MET	ABI2	7.75
MET	CTTN	1205.05
MET	GAB1	100
MET	MTA1	12.84
MET	NFATC4	12.84
MET	PRKACA	9.03
MET	UBE2L3	1.57
MKNK1	EIF4A2	4.19
MKNK1	EIF4B	9.81
MKNK1	EIF4E	100
MKNK1	GEMIN7	2.97
MKNK1	HLCS	1.99
MKNK1	MLX	5.18
MKNK1	MTA1	2.91
MKNK1	NFATC4	34.96
MKNK1	OTUD7B	2.25
MKNK1	UHMK1	2.91
MKNK2	EIF4E	100
MKNK2	MBNL3	1.75
MKNK2	MTA1	16.93
MKNK2	SMAD6	2.75
MKNK2	TRIM28	3.62
MOS	CSRP3	9.03
MOS	MBNL3	1.79
MOS	TRIM24	12.84
MST4	LZTS1	1.99
MYLK	NEUROD1	9.03
MYLK2	CRY1	10.68
MYLK2	MAP4K5	11.13
MYLK2	MAPK8	2.84
MYLK2	PPP2R1B	2
MYLK2	RIPK3	11.13
MYLK2	ZNF396	1.6
MYO3A	HLCS	1.64
MYO3A	MBNL3	1.57
MYO3A	SQSTM1	10.68
MYO3A	UHMK1	15.18
NEK10	DDEF2	1.81
NEK10	KCNIP2	1.84
NEK10	TRIP10	1.84
NEK11	C11orf9	1.9
NEK11	HLCS	1.64
NEK2	BCL3	2.25
NEK2	CRK	3.06
NEK2	CSDC2	2.6
NEK2	DDEF2	1.84
NEK2	EIF4ENIF1	2.91
NEK2	ETS1	5.54
NEK2	HCLS1	2.25
NEK2	HLCS	1.99
NEK2	MAP2K7	2.25
NEK2	MTA1	2.25
NEK2	NDC80	100
NEK2	PCM1	1.6
NEK2	PPP1CC	100
NEK2	PPP1R13L	24.59
NEK2	PRKCD	24.59
NEK2	PSMA6	2.25
NEK2	PSMC3	2.97
NEK2	RPS6KA2	12.15
NEK2	SAFB2	2.21
NEK2	SERBP1	2.97
NEK2	SFRS1	2.25
NEK2	SMPX	2.6
NEK2	SRXN1	1.99
NEK2	STIP1	2.97
NEK2	TMSL3	1.99
NEK2	TRIM24	2.25
NEK2	TRIP10	1.88
NEK2	UBB	2.25
NEK2	YWHAH	18.88
NEK2	ZYX	4.35
NEK3	APITD1	1.93
NEK3	ARID3A	3.18
NEK3	C11orf61	1.93
NEK3	C11orf9	1.93
NEK3	C14orf106	1.9
NEK3	C19orf2	5.22
NEK3	C21orf66	5.31
NEK3	CC2D1A	3.74
NEK3	CDCA7L	5.31
NEK3	CRK	33.56
NEK3	CSDC2	3.74
NEK3	HCLS1	3.18
NEK3	HNRPK	4.39
NEK3	HSPB1	3.24
NEK3	HTATIP	3.24
NEK3	LUZP1	1.93
NEK3	MDM2	4.19
NEK3	METTL3	1.93
NEK3	MTA1	3.24
NEK3	NFATC4	3.24
NEK3	NUP35	1.93
NEK3	PRDM10	1.93
NEK3	PSMA8	5.22
NEK3	RNASEH2C	1.93
NEK3	SMARCAD1	1.93
NEK3	SMARCAL1	1.9
NEK3	SMPX	3.74
NEK3	YWHAZ	11.76
NEK3	ZNF213	1.93
NEK3	ZNF765	1.93
NEK3	ZNF81	1.93
NEK3	ZYX	33.56
NEK4	CNOT6	5.31
NEK4	CPSF3	1.93
NEK4	CSRP3	3.74
NEK4	CSTF2T	1.9
NEK4	DCLRE1B	1.93
NEK4	DDX39	1.93
NEK4	DHX32	1.93
NEK4	DTX1	3.74
NEK4	EXOSC7	1.9
NEK4	EYA2	5.22
NEK4	GTF2B	1.93
NEK4	MED28	5.31
NEK4	MTA1	5.31
NEK4	MXD1	1.93
NEK4	NOL7	1.93
NEK4	ONECUT1	1.93
NEK4	POGZ	1.9
NEK4	SFMBT1	1.93
NEK4	SOX10	5.31
NEK4	ZNF410	2.55
NEK4	ZNF496	1.93
NEK4	ZNF597	1.93
NEK6	C21orf66	3.69
NEK6	CSRP3	1.58
NEK6	DCP1A	34.33
NEK6	FABP4	1.58
NEK6	HCLS1	2.21
NEK6	HLCS	2.58
NEK6	HSF1	2.97
NEK6	HTATIP	34.96
NEK6	MDM4	7.87
NEK6	MFN1	2.8
NEK6	NARG1L	2.25
NEK6	PDK2	3
NEK6	PSMA7	2.91
NEK6	PSMA8	2.6
NEK6	RAB14	7.18
NEK6	SGK	100
NEK6	SMC3	5436.3
NEK6	SNRP70	7.73
NEK6	SRA1	2.25
NEK6	TRIP10	1.84
NEK6	ZNF346	2.25
NEK7	HLCS	2.16
NEK7	MBNL3	1.6
NEK8	DDEFL1	1.67
NEK8	KLHL25	1.67
NEK8	MBNL3	1.6
NEK8	PHLDA2	1.67
NEK8	SMAD3	20.28
NEK8	UHMK1	15.18
NEK8	VPS39	1.67
NEK9	ABI2	1.57
NEK9	BCL3	2.25
NEK9	CBL	5.74
NEK9	DDEFL1	1.99
NEK9	EIF4ENIF1	34.96
NEK9	GRK5	2.43
NEK9	HCLS1	5.18
NEK9	MDFI	2.91
NEK9	MDM2	2.25
NEK9	MLX	34.96
NEK9	NEK6	100
NEK9	NEK7	100
NEK9	PLK1	7.87
NEK9	PPP1R13L	2.25
NEK9	VHL	34.33
NEK9	ZYX	4.35
NIM1	CRK	1.99
NLK	CSRP3	1.58
NLK	HLCS	1.96
NLK	LEF1	100
NLK	NFATC4	34.96
NLK	PRKACA	2.21
NPR2	ACO1	3.95
NPR2	C19orf2	7.49
NPR2	C21orf66	5.27
NPR2	CC2D1A	5.27
NPR2	CSDC2	7.49
NPR2	DDEFL1	3.95
NPR2	DGCR8	7.49
NPR2	EGFR	23.62
NPR2	FAM110A	4.02
NPR2	HLCS	2.83
NPR2	KCNIP2	20.72
NPR2	MBNL3	5.27
NPR2	MDM2	4.57
NPR2	NUDT4	4.02
NPR2	PSMA6	4.57
NPR2	PSMA8	7.49
NPR2	PYCR1	4.02
NPR2	RAB5C	3.36
NPR2	RUVBL2	1.59
NPR2	S100A11	3.22
NPR2	SCP2	2.45
NPR2	SMAD4	4.57
NPR2	SRXN1	4.02
NPR2	TBC1D22A	4.02
NPR2	TIPIN	5.27
NPR2	TRIM26	4.02
NPR2	TRIM36	4.02
NPR2	UBE2V1	4.57
NPR2	UBTD2	4.02
NPR2	ZCCHC2	2.83
NRBP1	HLCS	2.16
NRBP1	MBNL3	2.11
NRBP2	CAMKK1	1.75
NRBP2	CBL	1.99
NRBP2	PER3	1.75
NRBP2	SOX10	3.12
NRBP2	TRIP10	1.84
NTRK3	ETS1	2.75
NTRK3	PRKCD	12.84
NTRK3	ZHX1	2.7
NUAK1	CASP6	100
NUAK1	CDK2AP1	12.84
NUAK1	CHEK1	12.84
NUAK1	CSDE1	7.75
NUAK1	GNA12	4.78
NUAK1	MDM4	2.75
NUAK1	PPP2R1B	244.18
NUAK1	PRKACA	16.61
OXSR1	EEF1D	2.07
OXSR1	RAP1A	8.8
PAK1	ABI2	65.45
PAK1	ARHGAP20	2.35
PAK1	ARHGDIA	100
PAK1	ARHGEF2	100
PAK1	ARRDC4	2.35
PAK1	BCL3	2.67
PAK1	BPNT1	22.21
PAK1	BRAF	100
PAK1	BTBD14A	2.35
PAK1	C21orf7	4.37
PAK1	CAMKK1	40.66
PAK1	CHES1	2.35
PAK1	CSAG2	2.35
PAK1	CSNK1G2	86.24
PAK1	CSRP3	1.88
PAK1	CTTN	46.87
PAK1	CXXC1	2.64
PAK1	DAXX	41.39
PAK1	DDEFL1	7.04
PAK1	EIF4A3	2.62
PAK1	EIF4H	86.24
PAK1	ESR1	100
PAK1	EXOSC5	2.67
PAK1	FGR	1.89
PAK1	FLNA	100
PAK1	FOXL2	100
PAK1	GNAZ	100
PAK1	GRK5	20.11
PAK1	HCLS1	54.59
